product_id,nome_na_loja,arquivo
361419691,JG 2UND APLICADOR PRODUTOS PNEU VINTEX,361419691.jpg
361419748,"LAVA AUTOS 1,5L VINTEX",361419748.jpg
361419837,LAVA AUTOS 500ML VINTEX,361419837.jpg
361419900,LAVA AUTOS 5L VINTEX,361419900.jpg
361419986,"LIMPA VIDROS 1,5L VINTEX",361419986.jpg
361420111,LIMPA VIDROS 500ML VINTEX,361420111.jpg
361420208,LIMPA VIDROS 5L VINTEX,361420208.jpg
361542628,ACIDUS FAST 500ML VONIXX,361542628.jpg
361543239,"ACIDUS PRO 1,5L VONIXX",361543239.jpg
361543567,ACIDUS PRO 5L VONIXX,361543567.jpg
361543847,"APLICADOR MICROFIBRA VONIXX 12X2,5 200GSM",361543847.jpg
361544102,"BACTRAN 1,5L VONIXX",361544102.jpg
361544342,BACTRAN 5L VONIXX,361544342.jpg
361544533,BLEND ALL IN ONE 240ML VONIXX,361544533.jpg
361544780,BLEND ALL IN ONE 500ML VONIXX,361544780.jpg
361545002,BLEND BLACK WAX 100ML VONIXX,361545002.jpg
361545240,BLEND CLEANER BLACK WAX 240ML VONIXX,361545240.jpg
361545498,BLEND CLEANER BLACK WAX 500ML VONIXX,361545498.jpg
361545707,BLEND CLEANER WAX 240ML VONIXX,361545707.jpg
361545990,BLEND CLEANER WAX 500ML VONIXX,361545990.jpg
361546261,BLEND METAL POLISH 150G VONIXX,361546261.jpg
361546481,BLEND PASTE WAX 100ML VONIXX,361546481.jpg
361546775,BLEND SPRAY 500ML VONIXX,361546775.jpg
361547001,BLEND SPRAY BLACK 500ML VONIXX,361547001.jpg
361547195,BOINA PARA POL DE VIDROS TIPO CARPETE 5POL VONIXX,361547195.jpg
361547443,BOINA PARA POLI DE VIDROS TIPO LONA 5POL VONIXX,361547443.jpg
361547749,CARNAUBA HYBRID WAX 120ML VONIXX,361547749.jpg
361548022,CARNAUBA HYBRID WAX 240ML VONIXX,361548022.jpg
361548265,CARNAUBA PLUS 500ML VONIXX,361548265.jpg
361548513,"CARNAUBA EXPRESS ULTRA 1,5L VONIXX",361548513.jpg
361558584,"CITRON 1,5L VONIXX",361558584.jpg
361562571,CLAY BAR PAD 7X12X2.5CM VONIXX,361562571.jpg
361571934,"DELET 1,5L VONIXX",361571934.jpg
362413413,DELET 500ML VONIXX,362413413.jpg
362908651,DELET 500ML VONIXX,362908651.jpg
